,WaitingTime,Drop,Outflow,AvgProfit,AvgTime,AvgDistance,TotalTrips,AirportRatio,CabNum,Pick,DayTime_Afternoon,DayTime_EarlyMorning,DayTime_Evening,DayTime_Morning
2140,43.0,0.0,1099.0,15.966345978015072,8.8,0.02882537963192553,50.0,0.04236111111111111,397,1.0,1,0,0,0
2141,4.0,1.0,170.0,25.028091035403506,12.8974358974359,0.05749455588973454,39.0,0.04236111111111111,244,0.0,0,1,0,0
2142,42.0,0.0,1432.0,17.80569397129899,9.66,0.03532406286987897,50.0,0.03819444444444445,521,1.0,0,0,1,0
2143,7.0,1.0,332.0,17.483304079532136,9.622641509433961,0.03767339366311034,53.0,0.03819444444444445,587,0.0,0,0,0,1
2144,6.0,1.0,170.0,20.840198897688566,12.209302325581396,0.04264552801436074,43.0,0.03819444444444445,587,0.0,0,0,0,1
2145,106.0,1.0,0.0,43.68822854168483,20.33333333333333,0.1153218376392496,21.0,0.07361111111111111,587,1.0,0,0,0,1
2146,40.0,1.0,681.0,15.31547277948128,7.72972972972973,0.026428875995867896,37.0,0.0375,463,0.0,0,0,0,1
2147,14.0,0.0,826.0,15.31547277948128,7.72972972972973,0.026428875995867896,37.0,0.0375,331,0.0,0,0,1,0
2148,2.0,1.0,1600.0,49.30248305968925,48.487804878048784,0.04463252636661475,41.0,0.036111111111111115,536,0.0,0,0,1,0
2149,50.0,0.0,1600.0,49.30248305968925,48.487804878048784,0.04463252636661475,41.0,0.036111111111111115,536,1.0,0,0,1,0
2150,38.0,0.0,682.0,20.709877518377453,15.636363636363635,0.048387776829277036,44.0,0.026388888888888892,1002,0.0,0,1,0,0
2151,29.0,0.0,1572.0,20.418638576296186,9.333333333333334,0.04478024092529434,60.0,0.02361111111111111,1002,1.0,0,1,0,0
2152,5.0,0.0,0.0,20.418638576296186,9.333333333333334,0.04478024092529434,60.0,0.02361111111111111,117,0.0,0,1,0,0
2153,9.0,0.0,466.0,0.0,0.0,0.0,0.0,0.00625,622,0.0,0,1,0,0
2154,9.0,1.0,164.0,22.170505663393726,12.384615384615385,0.05292741124252647,39.0,0.00625,587,0.0,0,0,0,1
2155,11.0,0.0,0.0,16.63651268690385,71.78260869565217,0.03285195791404057,23.0,0.18125,622,0.0,0,1,0,0
2156,126.0,0.0,0.0,16.63651268690385,71.78260869565217,0.03285195791404057,23.0,0.18125,392,1.0,0,0,0,1
2157,47.0,0.0,1252.0,16.63651268690385,71.78260869565217,0.03285195791404057,23.0,0.18125,331,1.0,0,0,1,0
2158,69.0,0.0,1175.0,18.104570651537284,11.883720930232556,0.03657326010543339,43.0,0.18125,397,1.0,1,0,0,0
2159,8.0,0.0,160.0,16.572991636621015,8.446808510638299,0.033946616119219813,47.0,0.18125,622,0.0,0,1,0,0
2160,30.0,0.0,1381.0,26.60628820704585,14.457142857142856,0.06292363460593588,35.0,0.02083333333333333,1002,1.0,0,1,0,0
2161,65.0,1.0,1529.0,31.85652051980267,27.0625,0.07232679840141265,16.0,0.04513888888888889,397,1.0,1,0,0,0
2162,10.0,0.0,1376.0,20.004761575320586,8.666666666666666,0.03988118281509677,15.0,0.006944444444444444,460,1.0,0,0,1,0
2163,142.0,0.0,170.0,20.263187340805363,11.65,0.04564646638947552,40.0,0.1326388888888889,587,1.0,0,0,0,1
2164,49.0,0.0,1570.0,20.263187340805363,11.65,0.04564646638947552,40.0,0.1326388888888889,536,1.0,0,0,1,0
2165,58.0,0.0,627.0,18.113059286711348,9.951219512195124,0.033577571667970235,41.0,0.10347222222222223,414,1.0,1,0,0,0
2166,91.0,1.0,1270.0,24.317077563855854,13.324324324324325,0.05317981491585087,37.0,0.10347222222222223,463,0.0,0,0,0,1
2167,14.0,0.0,0.0,19.441553591249072,8.943661971830986,0.039221800138162975,71.0,0.009722222222222222,117,1.0,0,1,0,0
2168,7.0,1.0,991.0,17.296314395842195,8.872727272727273,0.03436865059634857,55.0,0.004861111111111111,313,0.0,1,0,0,0
2169,11.0,1.0,1172.0,21.926854701652132,12.125,0.05172953479565362,48.0,0.007638888888888889,392,0.0,0,0,0,1
2170,12.0,0.0,0.0,26.52021383768908,17.125,0.07071361801567771,32.0,0.008333333333333333,220,1.0,0,1,0,0
2171,49.0,0.0,1305.0,18.443111569956454,13.375,0.041192794194940166,48.0,0.034027777777777775,536,1.0,0,0,1,0
2172,8.0,0.0,0.0,14.856565341723547,7.512820512820514,0.021688485726157915,39.0,0.005555555555555557,587,0.0,0,0,0,1
2173,5.0,1.0,1660.0,16.15005484579355,10.892857142857142,0.030319324842776267,56.0,0.003472222222222222,453,0.0,0,0,1,0
2174,2.0,0.0,668.0,32.225577809899576,47.69565217391305,0.0660208228766316,23.0,0.0013888888888888892,382,1.0,0,0,0,1
2175,40.0,0.0,682.0,20.22097457465138,16.407407407407412,0.031102665652765937,27.0,0.1111111111111111,1002,1.0,0,1,0,0
2176,35.0,1.0,1472.0,33.3080230952967,27.47368421052632,0.08040392257051078,19.0,0.1111111111111111,331,0.0,0,0,1,0
2177,50.0,0.0,1163.0,33.3080230952967,27.47368421052632,0.08040392257051078,19.0,0.1111111111111111,460,1.0,0,0,1,0
2178,30.0,0.0,1547.0,19.57021636958931,14.727272727272727,0.046087848727694065,33.0,0.1111111111111111,1002,1.0,0,1,0,0
2179,5.0,0.0,687.0,19.57021636958931,14.727272727272727,0.046087848727694065,33.0,0.1111111111111111,392,0.0,0,0,0,1
2180,38.0,0.0,1572.0,20.15848736604228,14.17948717948718,0.04500070246518987,39.0,0.06319444444444444,1002,0.0,0,1,0,0
2181,53.0,1.0,1478.0,20.15848736604228,14.17948717948718,0.04500070246518987,39.0,0.06319444444444444,397,1.0,0,1,0,0
2182,13.0,1.0,160.0,13.858981953238736,6.222222222222222,0.017616315994481845,54.0,0.028472222222222218,622,0.0,0,1,0,0
2183,3.0,0.0,1352.0,14.000288836748615,7.219512195121951,0.0182532870038458,41.0,0.028472222222222218,1002,0.0,0,1,0,0
2184,9.0,0.0,1737.0,14.07153172708504,7.395833333333332,0.01924847216625284,48.0,0.028472222222222218,1002,0.0,0,1,0,0
2185,7.0,1.0,164.0,14.07153172708504,7.395833333333332,0.01924847216625284,48.0,0.028472222222222218,587,0.0,0,0,0,1
2186,9.0,0.0,673.0,14.07153172708504,7.395833333333332,0.01924847216625284,48.0,0.028472222222222218,392,0.0,0,0,0,1
2188,6.0,1.0,332.0,43.83568675948568,22.043478260869566,0.11785872957739416,23.0,0.0041666666666666675,587,0.0,0,0,0,1
2189,5.0,1.0,0.0,18.35098996569823,10.386363636363637,0.03908400445333333,44.0,0.003472222222222222,587,0.0,0,0,0,1
2190,5.0,1.0,0.0,23.78252116399992,29.555555555555557,0.051943055118913055,18.0,0.02083333333333333,587,0.0,0,0,0,1
2191,25.0,1.0,1472.0,21.698885567803423,24.66666666666667,0.0464715578307496,18.0,0.02083333333333333,331,0.0,0,0,1,0
2192,3.0,0.0,220.0,14.408347828302514,7.8235294117647065,0.021381145219437948,51.0,0.013888888888888888,191,0.0,0,1,0,0
2193,12.0,0.0,180.0,14.408347828302514,7.8235294117647065,0.021381145219437948,51.0,0.013888888888888888,244,0.0,0,1,0,0
2194,3.0,0.0,1052.0,14.408347828302514,7.8235294117647065,0.021381145219437948,51.0,0.013888888888888888,414,1.0,1,0,0,0
2195,2.0,0.0,1304.0,14.521335356224425,9.0,0.024476354899971797,49.0,0.013888888888888888,414,0.0,1,0,0,0
2196,9.0,1.0,1053.0,18.7522156881257,11.482142857142858,0.037012902216304634,56.0,0.030555555555555555,370,0.0,1,0,0,0
2197,35.0,0.0,1374.0,16.075340993138106,11.192982456140351,0.03153269343801369,57.0,0.030555555555555555,331,1.0,0,0,1,0
2198,5.0,1.0,991.0,17.847568181123048,17.125,0.036945044746413434,24.0,0.003472222222222222,313,0.0,1,0,0,0
2199,5.0,1.0,685.0,18.33105599823165,12.333333333333336,0.016805736850320337,30.0,0.006944444444444444,392,0.0,0,0,0,1
2200,5.0,0.0,1341.0,18.33105599823165,12.333333333333336,0.016805736850320337,30.0,0.006944444444444444,392,0.0,0,0,0,1
2201,2.0,0.0,1380.0,18.012673320708362,10.081967213114757,0.03685530425217028,61.0,0.05972222222222224,1002,1.0,0,1,0,0
2202,33.0,0.0,1381.0,18.012673320708362,10.081967213114757,0.03685530425217028,61.0,0.05972222222222224,536,1.0,0,0,1,0
2203,51.0,1.0,1101.0,18.460472751450986,11.0,0.0412669690069585,59.0,0.05972222222222224,521,1.0,0,0,1,0
2204,10.0,0.0,1380.0,21.109334100440666,12.972222222222221,0.04820502182526823,36.0,0.13402777777777775,1002,1.0,0,1,0,0
2205,40.0,1.0,1503.0,21.109334100440666,12.972222222222221,0.04820502182526823,36.0,0.13402777777777775,530,0.0,0,0,0,1
2206,71.0,0.0,903.0,18.888707170471974,10.473684210526317,0.0383469007658464,38.0,0.13402777777777775,463,1.0,0,0,0,1
2207,72.0,1.0,326.0,20.77296838523434,10.1,0.04803302666101154,40.0,0.13402777777777775,587,0.0,0,0,0,1
2208,25.0,1.0,359.0,71.6161728038042,15.692307692307693,0.2009088195311308,39.0,0.017361111111111112,587,0.0,0,0,0,1
2209,3.0,1.0,170.0,25.874049582991763,18.825,0.06052529170394093,40.0,0.0020833333333333333,587,1.0,0,0,0,1
2210,70.0,0.0,1185.0,14.08587007877738,5.862068965517241,0.015312869143580406,29.0,0.04861111111111111,460,0.0,0,0,1,0
2211,14.0,0.0,303.0,0.0,0.0,0.0,0.0,0.009722222222222222,244,0.0,0,1,0,0
2212,2.0,1.0,863.0,25.891968971272835,19.0,0.06484612762157346,28.0,0.09097222222222222,357,0.0,1,0,0,0
2213,87.0,1.0,1117.0,25.891968971272835,19.0,0.06484612762157346,28.0,0.09097222222222222,460,1.0,0,0,1,0
2214,36.0,0.0,838.0,21.674013927197233,13.870967741935484,0.05661823107218625,31.0,0.09097222222222222,1002,1.0,0,1,0,0
2215,6.0,1.0,160.0,21.674013927197233,13.870967741935484,0.05661823107218625,31.0,0.09097222222222222,622,0.0,0,1,0,0
2216,68.0,1.0,719.0,27.833998322211016,19.80769230769231,0.058585596941771685,26.0,0.15694444444444444,530,1.0,0,0,0,1
2217,22.0,1.0,1544.0,20.954479166150644,47.0,0.04954147621134801,44.0,0.15694444444444444,331,1.0,0,0,1,0
2218,66.0,1.0,164.0,31.15911725119338,16.096774193548384,0.0731202326103853,31.0,0.15694444444444444,382,1.0,0,0,0,1
2219,70.0,0.0,1349.0,31.15911725119338,16.096774193548384,0.0731202326103853,31.0,0.15694444444444444,397,1.0,1,0,0,0
2220,51.0,0.0,866.0,18.12880917235581,69.73469387755102,0.03610742667105607,49.0,0.035416666666666666,530,1.0,0,0,0,1
2221,14.0,1.0,340.0,23.357004944977717,16.315789473684212,0.048083975460288766,38.0,0.009722222222222222,357,0.0,1,0,0,0
2222,61.0,0.0,1573.0,13.908113451623642,5.655172413793102,0.02095739405460744,58.0,0.04236111111111111,460,1.0,0,0,1,0
2223,10.0,1.0,1564.0,21.334448574454452,10.833333333333336,0.05304666632423055,12.0,0.006944444444444444,536,1.0,0,0,1,0
2224,15.0,1.0,677.0,15.760361901416935,15.285714285714285,0.0214727162634446,28.0,0.013888888888888888,534,0.0,0,0,0,1
2225,5.0,1.0,1016.0,15.760361901416935,15.285714285714285,0.0214727162634446,28.0,0.013888888888888888,414,0.0,1,0,0,0
2226,62.0,1.0,0.0,27.302000033963342,13.177777777777774,0.06571631035216602,45.0,0.04305555555555556,622,1.0,0,1,0,0
